FECHA,GTCOP10Y Govt,S0329FS 1M1Y BLC Curncy,COLOM CDS USD SR 5Y D14 Corp,JGENVHYG Index,JPEIYW Index,BAMLEMCBPIOAS,BAMLC0A4CBBBEY
12/08/2009,8.909,3.9227,160.191,7.382,6.796,5.3,6.42
13/08/2009,8.909,3.8929,159.335,7.353,6.763,5.35,6.31
14/08/2009,8.909,3.875,163.67,7.317,6.753,5.36,6.27
17/08/2009,8.909,3.875,169.424,7.295,6.783,5.41,6.24
18/08/2009,8.909,3.877,162.375,7.311,6.752,5.4,6.29
19/08/2009,8.909,3.8462,166.744,7.288,6.742,5.41,6.25
20/08/2009,8.909,3.8522,163.196,7.291,6.723,5.41,6.23
21/08/2009,8.909,3.872,157.855,7.273,6.691,5.32,6.34
24/08/2009,8.909,3.8303,155.071,7.224,6.655,5.34,6.26
25/08/2009,8.909,3.7926,155.974,7.226,6.656,5.33,6.21
26/08/2009,8.909,3.8522,162.284,7.246,6.658,5.31,6.18
27/08/2009,8.909,3.9033,163.25,7.258,6.662,5.23,6.18
28/08/2009,8.909,3.946,164.084,7.246,6.655,5.22,6.15
31/08/2009,8.909,3.9937,170.207,7.259,6.654,5.19,6.11
01/09/2009,8.909,4.0612,178.444,7.286,6.667,5.21,6.09
02/09/2009,8.909,4.1357,175.62,7.291,6.652,5.23,6.03
03/09/2009,8.909,4.1714,166.542,7.246,6.594,5.22,6.06
04/09/2009,8.909,4.2499,162.16,7.217,6.565,5.18,6.13
07/09/2009,8.909,4.2499,162.774,7.204,6.565,5.18,6.13
08/09/2009,8.909,4.2251,154.834,7.192,6.492,5.15,6.13
09/09/2009,8.909,4.1913,155.62,7.197,6.482,5.09,6.12
10/09/2009,8.909,4.1655,152.47,7.214,6.441,5.09,5.98
11/09/2009,8.909,4.1357,154.421,7.197,6.369,5.04,5.95
14/09/2009,8.909,4.1506,149.511,7.216,6.335,4.95,5.96
15/09/2009,8.909,4.1556,146.577,7.201,6.26,4.9,5.96
16/09/2009,8.909,4.1903,136.875,7.18,6.114,4.79,5.95
17/09/2009,8.909,4.1913,139.801,7.161,6.102,4.77,5.86
18/09/2009,8.909,4.1923,144.314,7.162,6.12,4.66,5.9
21/09/2009,8.909,4.2271,150.28,7.175,6.152,4.66,5.89
22/09/2009,8.909,4.2578,146.101,7.167,6.12,4.68,5.84
23/09/2009,8.909,4.2876,150.095,7.174,6.102,4.66,5.8
24/09/2009,8.909,4.3184,157.214,7.161,6.145,4.67,5.76
25/09/2009,8.909,4.3293,160.714,7.146,6.168,4.67,5.74
28/09/2009,8.909,3.8486,159.131,7.144,6.157,4.69,5.72
29/09/2009,8.909,3.8542,157.549,7.128,6.125,4.68,5.72
30/09/2009,8.909,3.8522,154.167,7.129,6.056,4.63,5.77
01/10/2009,8.909,3.8502,163.711,7.201,6.075,4.65,5.69
02/10/2009,8.909,3.8691,162.11,7.18,6.067,4.63,5.73
05/10/2009,8.909,3.877,152.119,7.152,5.96,4.63,5.73
06/10/2009,8.909,3.8979,144.727,7.128,5.894,4.58,5.72
07/10/2009,8.909,3.881,150.03,7.146,5.88,4.57,5.65
08/10/2009,8.909,3.8591,145.918,7.131,5.808,4.51,5.7
09/10/2009,8.909,3.8492,141.661,7.131,5.828,4.41,5.79
12/10/2009,8.909,3.8492,143.655,7.142,5.828,4.41,5.79
13/10/2009,8.909,3.8403,144.89,7.143,5.827,4.39,5.71
14/10/2009,8.909,3.8432,141.173,7.106,5.809,4.33,5.78
15/10/2009,8.909,3.878,144.667,7.121,5.839,4.29,5.8
16/10/2009,8.909,3.873,146.95,7.139,5.858,4.29,5.75
19/10/2009,8.909,3.884,145.531,7.138,5.859,4.28,5.73
20/10/2009,8.909,3.8432,150.452,7.131,5.851,4.31,5.68
21/10/2009,8.909,3.88,160.56,7.122,5.907,4.28,5.72
22/10/2009,8.909,3.873,157.385,7.16,5.958,4.31,5.7
23/10/2009,8.909,3.8681,159.818,7.162,5.964,4.29,5.73
26/10/2009,8.909,3.874,171.509,7.212,6.027,4.26,5.78
27/10/2009,8.909,3.879,173.811,7.229,6.111,4.32,5.68
28/10/2009,8.909,3.874,178.849,7.244,6.189,4.38,5.64
29/10/2009,8.909,3.8496,163.02,7.209,6.135,4.38,5.71
30/10/2009,8.909,3.8417,167.792,7.187,6.101,4.44,5.61
02/11/2009,8.909,3.8417,167.203,7.233,6.127,4.36,5.67
03/11/2009,8.909,3.8546,170.368,7.249,6.193,4.36,5.7
04/11/2009,8.909,3.8546,163.218,7.229,6.168,4.36,5.74
05/11/2009,8.909,3.8576,160.759,7.227,6.147,4.38,5.71
06/11/2009,8.909,3.8496,157.042,7.192,6.121,4.39,5.68
09/11/2009,8.909,3.8387,144.381,7.157,6.025,4.38,5.66
10/11/2009,8.909,3.8576,145.901,7.159,5.987,4.33,5.65
11/11/2009,8.909,3.8645,145.168,7.144,5.987,4.33,5.65
12/11/2009,8.909,3.8645,150.165,7.166,5.961,4.33,5.61
13/11/2009,8.909,3.8645,149.219,7.164,5.955,4.3,5.59
16/11/2009,8.909,3.8645,144.616,7.152,5.918,4.32,5.5
17/11/2009,8.909,3.8754,146.333,7.16,5.906,4.3,5.48
18/11/2009,8.909,3.8774,145.363,7.147,5.89,4.27,5.5
19/11/2009,8.909,3.8615,148.995,7.15,5.924,4.26,5.46
20/11/2009,8.909,3.8576,149.496,7.163,5.92,4.25,5.47
23/11/2009,8.909,3.8297,148.352,7.148,5.888,4.25,5.47
24/11/2009,8.909,3.3954,148.483,7.12,5.876,4.28,5.42
25/11/2009,8.909,3.3854,143.861,7.096,5.851,4.31,5.4
26/11/2009,8.909,3.3576,144.17,7.141,5.851,4.34,5.4
27/11/2009,8.909,3.3205,153.083,7.153,5.912,4.4,5.35
30/11/2009,8.909,3.2956,153.818,7.151,5.959,4.6,5.4
01/12/2009,8.909,3.2638,144.453,7.225,5.92,4.57,5.44
02/12/2009,8.909,3.2459,144.833,7.214,5.928,4.52,5.47
