Fecha,ECOPETL CB Equity,PFBCOLO CB Equity,GRUPOSUR CB Equity,BCOLO CB Equity,ISA CB Equity,NUTRESA CB Equity,GEB CB Equity,PFAVAL CB Equity,GRUPOARG CB Equity,PFGRUPSU CB Equity,EXITO CB Equity,CEMARGOS CB Equity,PFDAVVND CB Equity,PFGRUPOA CB Equity,BOGOTA CB Equity,CELSIA CB Equity,CORFICOL CB Equity,PFCEMARG CB Equity,CLH CB Equity,PFAVH CB Equity,AVAL CB Equity,CNEC CX Equity,BVC CB Equity,ETB CB Equity,CONCONC CB Equity
01/01/2015,2080,28640,40000,27640,8630,28600,1700,1280,20500,39500,29200,10200,28100,20000,66100,5805.69,32893.1,9650,16000,3420,1305,5000,10500,507,1450
02/01/2015,1955,28480,39700,27640,8600,28000,1625,1265,19820,38400,28800,10080,27100,20380,66100,5637.55,32432.13,9650,16000,3425,1305,5060,10500,507,1450
05/01/2015,1815,27820,37820,27260,7930,26880,1580,1215,18800,37000,28600,9080,25840,18840,64300,5340.84,31329.11,9210,15200,3355,1305,4600,9700,507,1370
06/01/2015,1835,28180,37600,27460,7850,26660,1580,1220,18980,36600,28500,9140,26300,18800,64300,5251.82,31197.41,9050,15200,3480,1305,4175,9700,507,1370
07/01/2015,1885,27960,37000,27200,7920,26660,1640,1215,19100,36680,28100,9140,26500,18980,63600,5182.59,31115.09,9140,15700,3600,1235,4455,9800,507,1370
08/01/2015,1960,27380,36820,26600,8000,27680,1690,1220,19100,36080,28180,9250,27380,19100,65500,5212.26,31592.52,9110,15420,3655,1210,4540,9800,485,1370
09/01/2015,1965,27320,36220,26700,8280,27440,1690,1250,18820,36120,27340,9240,26500,18800,65500,5340.84,31477.28,9120,15700,3600,1210,4890,9950,498,1370
12/01/2015,1965,27320,36220,26700,8280,27440,1690,1250,18820,36120,27340,9240,26500,18800,65500,5340.84,31477.28,9120,15700,3600,1210,4890,9950,498,1370
13/01/2015,1915,27980,35600,27000,7850,26780,1685,1260,18800,35440,26500,9280,26220,18600,64520,5330.95,31279.72,9090,15800,3615,1250,4960,9950,498,1370
14/01/2015,1895,27260,34600,26200,7780,26320,1650,1260,18520,34440,25440,9320,26000,18580,64000,5261.71,31493.74,9050,15700,3565,1255,5170,9850,485,1320
15/01/2015,1850,27320,34200,26540,7720,26460,1645,1250,18440,34000,25320,9060,26000,18320,64000,5291.39,30868.15,9080,15600,3555,1270,4890,9950,485,1320
16/01/2015,1880,27000,34500,26400,7630,26480,1635,1250,18060,34240,25440,9090,25720,18000,63500,5241.93,31279.72,8900,15560,3520,1270,5390,9750,474,1320
