Date,USDCOPV1W Curncy,USDCOPV1M Curncy,USDCOPV2M Curncy,USDCOPV3M Curncy,USDCOPV6M Curncy,USDCOPV9M Curncy,USDCOPV1Y Curncy,USDCOP25R1W Curncy,USDCOP25R1M Curncy,USDCOP25R2M Curncy,USDCOP25R3M Curncy,USDCOP25R6M Curncy,USDCOP25R9M Curncy,USDCOP25R1Y Curncy,USDCOP10R1W Curncy,USDCOP10R1M Curncy,USDCOP10R2M Curncy,USDCOP10R3M Curncy,USDCOP10R6M Curncy,USDCOP10R9M Curncy,USDCOP10R1Y Curncy,USDCOP25B1W Curncy,USDCOP25B1M Curncy,USDCOP25B2M Curncy,USDCOP25B3M Curncy,USDCOP25B6M Curncy,USDCOP25B9M Curncy,USDCOP25B1Y Curncy,USDCOP10B1W Curncy,USDCOP10B1M Curncy,USDCOP10B2M Curncy,USDCOP10B3M Curncy,USDCOP10B6M Curncy,USDCOP10B9M Curncy,USDCOP10B1Y Curncy
1/1/2007,9,9.7,9.9,10,10.3,10.7547,10.7,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.909,0.909,0.909,0.9141,0.9141,0.9141,0.909
2/1/2007,9,9.7,9.9,10,10.3,10.7547,10.7,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.909,0.909,0.909,0.9141,0.9141,0.9141,0.909
3/1/2007,9,9.7,9.9,10,10.3,10.7547,10.7,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.909,0.909,0.909,0.9141,0.9141,0.9141,0.909
4/1/2007,10.0159,10.0072,10.0062,10.0058,10.5051,10.7547,11.0043,1.4454,1.4454,1.5642,1.683,1.9206,2.2374,2.4057,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.303,0.303,0.4893,0.303,0.303,0.303,0.3081,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
5/1/2007,9.3,9.9,10.1,10.2,10.5,10.7547,10.9,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.6053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
6/1/2007,9.3,9.9,10.1,10.2,10.5,10.7547,10.9,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.6053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
7/1/2007,9.3,9.9,10.1,10.2,10.5,10.7547,10.9,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.6053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
8/1/2007,9.3,9.9,10.1,10.2,10.5,10.7547,10.9,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
9/1/2007,9.3,9.9,10.1,10.2,10.5,10.7547,10.9,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
10/1/2007,10,10.5,10.5,10.5,11,10.7547,11,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
11/1/2007,10,10.5,10.5,10.5,11,10.7547,11,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
12/1/2007,10,10.5,10.5,10.5,11,10.7547,11,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
13/1/2007,10,10.5,10.5,10.5,11,10.7547,11,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
14/1/2007,10,10.5,10.5,10.5,11,10.7547,11,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
15/1/2007,9.5,10,10.2,10.3,10.8,10.7547,11,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
16/1/2007,9,9.5,9.8,10,10.5,10.7547,10.8,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8116,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.9141,0.9141,0.9141,0.909,0.909,0.9141,0.9141
17/1/2007,9,9.5,9.8,10,10.5,10.7547,10.8,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8017,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.6053,0.909,0.9141,0.9141,0.9141,0.9141,0.9141,0.909
18/1/2007,9,9.5,9.8,10,10.5,10.7547,10.8,0.7,1.3,1.5,1.6,2,2.2374,2.5,2.4156,2.4156,2.6136,2.8017,3.1977,3.7323,3.9996,0.4585,0.4795,0.4893,0.544,0.618,0.303,0.7053,0.909,0.9141,0.9141,0.9141,0.9141,0.9141,0.909
19/1/2007,9.2659,9.2574,9.5062,9.7558,10.5051,10.7547,11.0044,1.4553,1.4553,1.5741,1.6929,1.9206,2.2473,2.4057,2.4156,2.4255,2.6136,2.8116,3.1977,3.7323,3.9996,0.3081,0.3081,0.4893,0.3081,0.303,0.3081,0.3081,0.909,0.9141,0.909,0.9141,0.909,0.909,0.909
20/1/2007,9.2659,9.2574,9.5062,9.7558,10.5051,10.7547,11.0044,1.4553,1.4553,1.5741,1.6929,1.9206,2.2473,2.4057,2.4156,2.4255,2.6136,2.8116,3.1977,3.7323,3.9996,0.3081,0.3081,0.4893,0.3081,0.303,0.3081,0.3081,0.909,0.9141,0.909,0.9141,0.909,0.909,0.909
21/1/2007,9.2659,9.2574,9.5062,9.7558,10.5051,10.7547,11.0044,1.4553,1.4553,1.5741,1.6929,1.9206,2.2473,2.4057,2.4156,2.4255,2.6136,2.8116,3.1977,3.7323,3.9996,0.3081,0.3081,0.4893,0.3081,0.303,0.3081,0.3081,0.909,0.9141,0.909,0.9141,0.909,0.909,0.909
